entity,homicide_rate,urban_pct,eur_pct,afr_pct,amr_pct,eas_pct,san_pct,hdi,gini,region,admix_generations
Nigeria,34.5,54,0,100,0,0,0,0.535,35.1,SSA,999
Ethiopia,7.6,23,0,98,0,0,2,0.492,35.0,SSA,999
DR Congo,13.6,47,0,99,0,0,1,0.479,42.1,SSA,999
Tanzania,6.4,38,0,98,0,0,2,0.532,40.5,SSA,999
South Africa,42.4,68,9,86,0,0,5,0.717,63.0,SSA,20
Kenya,5.5,29,0,100,0,0,0,0.575,40.8,SSA,999
Uganda,9.4,26,0,100,0,0,0,0.55,42.7,SSA,999
Mozambique,3.4,39,1,98,0,0,1,0.446,54.0,SSA,999
Ghana,2.1,59,0,100,0,0,0,0.602,43.5,SSA,999
Angola,4.8,69,1,96,0,0,3,0.586,51.3,SSA,999
Cameroon,4.2,59,0,100,0,0,0,0.576,46.6,SSA,999
Niger,4.4,17,0,100,0,0,0,0.394,37.3,SSA,999
Mali,7.2,45,0,100,0,0,0,0.41,33.0,SSA,999
Senegal,1.3,50,0,100,0,0,0,0.511,40.3,SSA,999
Zambia,3.5,46,0,99,0,0,1,0.565,57.1,SSA,999
Zimbabwe,6.7,32,1,97,0,0,2,0.55,50.3,SSA,999
Rwanda,2.5,18,0,100,0,0,0,0.548,43.7,SSA,999
Namibia,12.3,54,5,83,0,0,12,0.615,59.1,SSA,70
Botswana,13.3,72,1,79,0,0,20,0.693,53.3,SSA,70
Lesotho,36.1,30,0,97,0,0,3,0.514,44.6,SSA,999
Gabon,9.1,90,0,100,0,0,0,0.706,38.0,SSA,999
Cabo Verde,8.7,67,20,80,0,0,0,0.662,42.4,SSA,20
Mauritius,1.7,41,10,20,0,0,0,0.796,36.8,SSA,15
African Americans,22.0,88,20,80,0,0,0,0.8,,Diaspora,15
Jamaica,53.3,57,7,92,0,0,0,0.709,35.0,Diaspora,18
Haiti,40.9,62,2,98,0,0,0,0.535,41.1,Diaspora,18
Trinidad,10.2,53,10,34,0,0,0,0.81,40.3,Diaspora,18
Bahamas,28.0,83,5,90,0,0,0,0.812,32.0,Diaspora,18
Barbados,10.3,31,7,90,0,0,0,0.809,,Diaspora,18
Brazil,22.4,88,62,28,8,2,0,0.76,53.4,LatAm,20
Mexico,25.1,81,37,5,56,2,0,0.758,45.4,LatAm,20
Colombia,25.8,82,60,22,16,2,0,0.752,54.8,LatAm,20
Argentina,4.7,92,79,4,15,2,0,0.842,42.3,LatAm,20
Peru,7.8,79,32,4,62,2,0,0.762,41.5,LatAm,20
Venezuela,36.7,88,52,18,28,2,0,0.691,44.8,LatAm,20
Chile,4.6,88,52,4,42,2,0,0.855,44.9,LatAm,20
Guatemala,16.6,52,30,2,66,2,0,0.627,48.3,LatAm,20
Ecuador,44.5,65,42,10,46,2,0,0.74,47.3,LatAm,20
Cuba,5.0,78,72,20,6,2,0,0.764,,LatAm,20
Bolivia,6.8,71,22,2,74,2,0,0.693,43.6,LatAm,20
Dominican Republic,11.1,84,52,39,7,2,0,0.7,39.6,LatAm,20
Honduras,31.1,60,35,8,55,2,0,0.621,48.2,LatAm,20
Paraguay,7.1,63,45,3,50,2,0,0.717,43.8,LatAm,20
El Salvador,2.4,75,38,5,55,2,0,0.674,38.8,LatAm,20
Nicaragua,6.4,59,42,10,46,2,0,0.667,46.2,LatAm,20
Costa Rica,16.6,82,60,8,30,2,0,0.806,49.3,LatAm,20
Panama,10.4,69,40,25,33,2,0,0.74,49.2,LatAm,20
Puerto Rico,17.8,94,64,21,13,0,0,0.845,41.0,LatAm,20
Uruguay,9.7,96,87,8,3,0,0,0.817,40.2,LatAm,20
Poland,0.7,60,100,0,0,0,0,0.876,29.7,EEur,999
Romania,1.3,55,100,0,0,0,0,0.821,34.8,EEur,999
Czechia,0.5,74,100,0,0,0,0,0.889,25.3,EEur,999
Hungary,1.0,72,100,0,0,0,0,0.846,30.6,EEur,999
Ukraine,6.3,70,100,0,0,0,0,0.773,25.6,EEur,999
Bulgaria,1.2,76,100,0,0,0,0,0.795,40.4,EEur,999
Serbia,1.0,57,100,0,0,0,0,0.802,36.2,EEur,999
Slovakia,0.9,54,100,0,0,0,0,0.848,23.2,EEur,999
Croatia,0.7,58,100,0,0,0,0,0.858,29.7,EEur,999
Russia,6.8,75,100,0,0,0,0,0.822,36.0,EEur,999
United Kingdom,1.2,87,100,0,0,0,0,0.929,32.4,WEur,999
France,1.3,82,86,8,0,4,2,0.903,32.4,WEur,20
Germany,0.8,78,92,3,0,3,2,0.942,31.7,WEur,20
Spain,0.6,81,88,4,6,0,2,0.905,34.3,WEur,20
Italy,0.5,72,95,2,0,1,2,0.895,35.2,WEur,20
Sweden,1.2,88,82,6,0,4,8,0.952,30.0,WEur,20
Netherlands,0.6,93,85,6,2,3,4,0.946,28.5,WEur,20
Portugal,0.8,67,92,4,2,0,2,0.866,33.8,WEur,20
US Whites,3.5,80,98,0,0,0,0,0.92,38.0,WEur,999
Japan,0.3,92,0,0,0,100,0,0.92,32.9,EAsia,80
South Korea,0.6,81,0,0,0,100,0,0.929,31.4,EAsia,999
China,0.4,65,0,0,0,100,0,0.788,38.2,EAsia,999
Vietnam,1.5,38,0,0,0,95,0,0.726,36.8,EAsia,999
Indonesia,0.4,58,0,0,0,90,0,0.713,37.9,SEAsia,999
Thailand,2.3,52,0,0,0,90,0,0.8,34.9,SEAsia,999
Philippines,4.3,48,5,0,5,85,0,0.699,44.4,SEAsia,20
India,3.0,35,0,0,0,0,0,0.644,35.7,SAsia,100
Turkey,2.5,77,0,0,0,0,0,0.838,41.9,MENA,999
Iran,2.4,76,0,0,0,0,0,0.78,40.9,MENA,999
Egypt,1.4,43,0,10,0,0,0,0.731,31.5,MENA,999
Saudi Arabia,1.0,84,0,10,0,0,0,0.875,45.9,MENA,999
